,genes,degree,pagerank
0,Sox17,0,5.07E-06
1,Mrpl15,0,5.07E-06
2,Lypla1,0,5.07E-06
3,Tcea1,0,5.07E-06
4,Atp6v1h,0,5.07E-06
5,Rb1cc1,0,5.07E-06
6,Pcmtd1,0,5.07E-06
7,Rrs1,-2,-9.52E-05
8,Vcpip1,0,5.07E-06
9,Sgk3,0,5.07E-06
10,Snhg6,0,5.07E-06
11,Cops5,0,5.07E-06
12,Cspp1,0,5.07E-06
13,Arfgef1,0,5.07E-06
14,Prex2,0,5.07E-06
15,Sulf1,0,5.07E-06
16,Ncoa2,0,5.07E-06
17,Tram1,0,5.07E-06
18,Lactb2,0,5.07E-06
19,Terf1,0,5.07E-06
20,Rpl7,74,-6.22E-05
21,Rdh10,0,5.07E-06
22,Ube2w,0,5.07E-06
23,Tmem70,0,5.07E-06
24,Ly96,0,5.07E-06
25,Pi15,0,5.07E-06
26,Mcm3,0,5.07E-06
27,Paqr8,0,5.07E-06
28,Tram2,0,5.07E-06
29,Tmem14a,0,5.07E-06
30,Gsta3,-72,0
31,Ogfrl1,0,5.07E-06
32,Smap1,0,5.07E-06
33,Sdhaf4,0,5.07E-06
34,Fam135a,0,5.07E-06
35,Lmbrd1,0,5.07E-06
36,Phf3,0,5.07E-06
37,Ptp4a1,0,5.07E-06
38,Prim2,0,5.07E-06
39,Rab23,0,5.07E-06
40,Zfp451,0,5.07E-06
41,Dst,0,5.07E-06
42,Ccdc115,0,5.07E-06
43,Imp4,0,5.07E-06
44,Ptpn18,0,5.07E-06
45,Fam168b,0,5.07E-06
46,Plekhb2,0,5.07E-06
47,Hs6st1,0,5.07E-06
48,Uggt1,0,5.07E-06
49,Neurl3,0,5.07E-06
50,Arid5a,0,5.07E-06
51,Kansl3,0,5.07E-06
52,Lman2l,0,5.07E-06
53,Cnnm4,0,5.07E-06
54,Cnnm3,0,5.07E-06
55,Ankrd39,0,5.07E-06
56,Sema4c,0,5.07E-06
57,Cox5b,-7,-8.84E-05
58,Actr1b,0,5.07E-06
59,Tmem131,0,5.07E-06
60,Inpp4a,0,5.07E-06
61,Coa5,0,5.07E-06
62,Unc50,0,5.07E-06
63,Mgat4a,0,5.07E-06
64,Mitd1,0,5.07E-06
65,Mrpl30,28,6.39E-05
66,Txndc9,0,5.07E-06
67,Eif5b,0,5.07E-06
68,Rev1,0,5.07E-06
69,Aff3,1,0
70,Chst10,-1,0
71,Pdcl3,0,5.07E-06
72,Rpl31,275,0
73,Tbc1d8,0,5.07E-06
74,Cnot11,0,5.07E-06
75,Rnf149,0,5.07E-06
76,Map4k4,0,5.07E-06
77,Il1r2,0,5.07E-06
78,Il1r1,0,5.07E-06
79,Il1rl2,3,0
80,Il18r1,-163,0
81,Il18rap,0,5.07E-06
82,Mrps9,0,5.07E-06
83,Tgfbrap1,0,5.07E-06
84,AI597479,0,5.07E-06
85,Nck2,0,5.07E-06
86,Uxs1,0,5.07E-06
87,Tpp2,0,5.07E-06
88,Tex30,0,5.07E-06
89,Ercc5,0,5.07E-06
90,Gulp1,-10,0
91,Col3a1,0,5.07E-06
92,Col5a2,0,5.07E-06
93,Wdr75,0,5.07E-06
94,Slc39a10,0,5.07E-06
95,Tmeff2,-10,0
96,Nabp1,0,5.07E-06
97,Myo1b,-68,-5.55E-05
98,Stat4,19,0
99,Stat1,0,5.07E-06
100,Gls,0,5.07E-06
101,Nab1,0,5.07E-06
102,Mfsd6,0,5.07E-06
103,Inpp1,0,5.07E-06
104,Hibch,0,5.07E-06
105,Ormdl1,0,5.07E-06
106,Osgepl1,0,5.07E-06
107,Asnsd1,0,5.07E-06
108,Stk17b,-10,-1.83E-05
109,Hecw2,0,5.07E-06
110,Gtf3c3,0,5.07E-06
111,Pgap1,0,5.07E-06
112,Ankrd44,0,5.07E-06
113,Sf3b1,0,5.07E-06
114,Coq10b,-57,0
115,Hspd1,0,5.07E-06
116,Hspe1,-10,-2.69E-05
117,Mob4,0,5.07E-06
118,Rftn2,0,5.07E-06
119,Mars2,-4,0
120,Plcl1,0,5.07E-06
121,Tyw5,0,5.07E-06
122,Spats2l,0,5.07E-06
123,Kctd18,0,5.07E-06
124,Aox3,0,5.07E-06
125,Bzw1,0,5.07E-06
126,Clk1,0,5.07E-06
127,Ppil3,0,5.07E-06
128,Nif3l1,0,5.07E-06
129,Orc2,0,5.07E-06
130,Fam126b,0,5.07E-06
131,Ndufb3,-14,-3.53E-05
132,Cflar,0,5.07E-06
133,Casp8,0,5.07E-06
134,Trak2,0,5.07E-06
135,Stradb,0,5.07E-06
136,Tmem237,0,5.07E-06
137,Fzd7,0,5.07E-06
138,Sumo1,0,5.07E-06
139,Nop58,0,5.07E-06
140,Bmpr2,0,5.07E-06
141,Fam117b,0,5.07E-06
142,Wdr12,0,5.07E-06
143,Nbeal1,0,5.07E-06
144,Cyp20a1,0,5.07E-06
145,Abi2,0,5.07E-06
146,Raph1,0,5.07E-06
147,Cd28,0,5.07E-06
148,Pard3b,0,5.07E-06
149,Nrp2,0,5.07E-06
150,Ino80d,0,5.07E-06
151,Ndufs1,0,5.07E-06
152,Eef1b2,99,0
153,Klf7,0,5.07E-06
154,Creb1,0,5.07E-06
155,Mettl21a,0,5.07E-06
156,Ccnyl1,0,5.07E-06
157,Fzd5,0,5.07E-06
158,Plekhm3,0,5.07E-06
159,Idh1,0,5.07E-06
160,Pikfyve,0,5.07E-06
161,Rpe,0,5.07E-06
162,Kansl1l,0,5.07E-06
163,Acadl,-28,-8.11E-05
164,Lancl1,0,5.07E-06
165,Ikzf2,0,5.07E-06
166,Atic,0,5.07E-06
167,Fn1,0,5.07E-06
168,Pecr,0,5.07E-06
169,Xrcc5,0,5.07E-06
170,Smarcal1,0,5.07E-06
171,Rpl37a,117,0
172,Igfbp5,0,5.07E-06
173,Tns1,-46,-8.39E-07
174,Arpc2,-2,-6.51E-05
175,Aamp,0,5.07E-06
176,Pnkd,0,5.07E-06
177,Tmbim1,-94,0
178,Slc11a1,-2,0
179,Ctdsp1,0,5.07E-06
180,Usp37,0,5.07E-06
181,Zfp142,0,5.07E-06
182,Bcs1l,0,5.07E-06
183,Rnf25,0,5.07E-06
184,Cyp27a1,0,5.07E-06
185,Cnppd1,0,5.07E-06
186,Zfand2b,0,5.07E-06
187,Abcb6,0,5.07E-06
188,Atg9a,0,5.07E-06
