,genes,pagerank
0,Sox17,-2.25E-05
1,Mrpl15,5.35E-05
2,Lypla1,-4.54E-05
3,Tcea1,-2.36E-05
4,Atp6v1h,-7.03E-05
5,Rb1cc1,0.000120922
6,Pcmtd1,-1.01E-06
7,Rrs1,1.34E-05
8,Vcpip1,7.48E-05
9,Sgk3,6.17E-05
10,Snhg6,5.79E-06
11,Cops5,7.85E-05
12,Cspp1,1.09E-05
13,Arfgef1,-5.74E-06
14,Prex2,-5.65E-05
15,Sulf1,2.12E-05
16,Ncoa2,9.09E-05
17,Tram1,-6.09E-05
18,Lactb2,-1.44E-05
19,Terf1,2.63E-05
20,Rpl7,6.50E-06
21,Rdh10,7.68E-05
22,Ube2w,6.30E-05
23,Tmem70,2.35E-05
24,Ly96,1.38E-05
25,Pi15,5.10E-05
26,Mcm3,2.75E-05
27,Paqr8,6.44E-05
28,Tram2,-1.16E-05
29,Tmem14a,2.32E-05
30,Gsta3,2.13E-05
31,Ogfrl1,-1.99E-06
32,Smap1,3.12E-05
33,Sdhaf4,-0.000108734
34,Fam135a,1.25E-05
35,Lmbrd1,-4.12E-05
36,Phf3,-2.34E-05
37,Ptp4a1,6.47E-05
38,Prim2,-4.33E-05
39,Rab23,3.51E-05
40,Zfp451,8.65E-06
41,Dst,-1.70E-05
42,Ccdc115,-2.07E-05
43,Imp4,9.69E-06
44,Ptpn18,-5.03E-06
45,Fam168b,5.07E-05
46,Plekhb2,-8.38E-05
47,Hs6st1,-4.10E-06
48,Uggt1,2.12E-06
49,Neurl3,4.17E-06
50,Arid5a,1.27E-05
51,Kansl3,6.63E-06
52,Lman2l,7.12E-06
53,Cnnm4,8.66E-06
54,Cnnm3,-5.01E-05
55,Ankrd39,2.20E-05
56,Sema4c,2.51E-05
57,Cox5b,-5.39E-06
58,Actr1b,2.02E-05
59,Tmem131,-4.47E-05
60,Inpp4a,6.32E-05
61,Coa5,5.29E-05
62,Unc50,5.50E-05
63,Mgat4a,-1.43E-05
64,Mitd1,1.78E-06
65,Mrpl30,-2.71E-05
66,Txndc9,1.51E-05
67,Eif5b,9.84E-05
68,Rev1,5.00E-05
69,Aff3,6.88E-06
70,Chst10,-4.76E-05
71,Pdcl3,7.88E-05
72,Rpl31,3.24E-05
73,Tbc1d8,7.01E-05
74,Cnot11,3.22E-05
75,Rnf149,7.89E-05
76,Map4k4,3.65E-05
77,Il1r2,-8.93E-06
78,Il1r1,9.63E-06
79,Il1rl2,-0.000421637
80,Il18r1,1.30E-05
81,Il18rap,-1.54E-05
82,Mrps9,1.51E-06
83,Tgfbrap1,3.20E-06
84,AI597479,-1.23E-05
85,Nck2,1.54E-06
86,Uxs1,-3.16E-05
87,Tpp2,8.63E-06
88,Tex30,3.14E-05
89,Ercc5,7.48E-05
90,Gulp1,-3.57E-06
91,Col3a1,-2.58E-05
92,Col5a2,-5.75E-05
93,Wdr75,6.92E-06
94,Slc39a10,3.63E-05
95,Tmeff2,-0.000129678
96,Nabp1,9.75E-06
97,Myo1b,-7.75E-05
98,Stat4,-5.46E-05
99,Stat1,-5.25E-06
100,Gls,-7.65E-06
101,Nab1,9.24E-05
102,Mfsd6,5.61E-05
103,Inpp1,-4.36E-06
104,Hibch,1.10E-05
105,Ormdl1,-2.01E-05
106,Osgepl1,-1.37E-05
107,Asnsd1,-2.88E-05
108,Stk17b,3.83E-06
109,Hecw2,-5.01E-05
110,Gtf3c3,1.21E-05
111,Pgap1,2.07E-05
112,Ankrd44,3.12E-06
113,Sf3b1,1.81E-05
114,Coq10b,-5.18E-05
115,Hspd1,3.64E-05
116,Hspe1,-6.72E-05
117,Mob4,-8.04E-05
118,Rftn2,1.32E-05
119,Mars2,-0.000153819
120,Plcl1,-2.50E-05
121,Tyw5,4.16E-05
122,Spats2l,-9.13E-05
123,Kctd18,-6.08E-06
124,Aox3,3.43E-05
125,Bzw1,3.14E-05
126,Clk1,-9.43E-05
127,Ppil3,0.000126695
128,Nif3l1,3.52E-06
129,Orc2,3.15E-05
130,Fam126b,6.23E-05
131,Ndufb3,-1.36E-05
132,Cflar,-4.20E-05
133,Casp8,3.36E-05
134,Trak2,3.61E-06
135,Stradb,6.53E-05
136,Tmem237,8.77E-06
137,Fzd7,-4.89E-05
138,Sumo1,4.96E-05
139,Nop58,9.80E-05
140,Bmpr2,3.80E-06
141,Fam117b,4.33E-05
142,Wdr12,1.22E-05
143,Nbeal1,-3.05E-05
144,Cyp20a1,1.98E-06
145,Abi2,1.45E-05
146,Raph1,8.77E-05
147,Cd28,1.24E-05
148,Pard3b,6.08E-06
149,Nrp2,7.24E-06
150,Ino80d,2.60E-05
151,Ndufs1,5.17E-05
152,Eef1b2,1.39E-05
153,Klf7,0.000126425
154,Creb1,-6.25E-05
155,Mettl21a,-3.41E-05
156,Ccnyl1,7.18E-06
157,Fzd5,-4.63E-05
158,Plekhm3,5.41E-05
159,Idh1,-6.94E-05
160,Pikfyve,2.88E-05
161,Rpe,6.44E-05
162,Kansl1l,2.63E-06
163,Acadl,-5.46E-05
164,Lancl1,5.83E-06
165,Ikzf2,-2.22E-05
166,Atic,3.24E-05
167,Fn1,1.25E-05
